rank,candidate_id,name,career_stage,years_experience,location,expected_ctc_lpa,notice_period_days,skill_match_score,semantic_skill_score,required_skills_matched,matched_skills,experience_score,yoe_score,prestige_score,platform_score,github_score,linkedin_score,education_score,college_tier,cgpa,behavioral_score,fit_score,semantic_profile_score,rule_based_score,composite_score,ranking_method
1,CAND_0281,Candidate_281,mid,3,Kolkata,43.9,15,32.79,54.23,2/8,"ml, sql",77.4,100,59.0,85.52,77.6,97.4,81.56,IIT,8.3,86.19,96.25,50.82,68.66,62.42,hybrid (tfidf)
2,CAND_0186,Candidate_186,mid,3,Mumbai,29.1,30,29.64,52.18,2/8,"python, ml",91.5,100,80.0,83.96,81.6,87.5,36.62,Tier-3,6.08,100.0,96.25,50.97,67.42,61.66,hybrid (tfidf)
3,CAND_0126,Candidate_126,senior,7,Remote,46.9,0,43.91,53.5,4/8,"python, ml, nlp, sql",95.8,100,88.0,47.13,12.6,99.0,59.03,NIT,6.41,81.03,96.25,51.36,66.36,61.11,hybrid (tfidf)
4,CAND_0093,Candidate_93,mid,5,Bangalore,15.8,15,29.96,55.43,1/8,python,89.25,100,80.0,65.03,89.6,28.1,79.59,IIT,8.03,86.97,91.6,51.39,66.14,60.98,hybrid (tfidf)
5,CAND_0215,Candidate_215,mid,4,Delhi,4.7,0,29.15,53.1,1/8,nlp,100.0,100,100.0,58.41,38.7,88.0,91.11,IIT,9.61,70.86,80.25,50.98,65.48,60.41,hybrid (tfidf)
6,CAND_0438,Candidate_438,mid,4,Mumbai,44.9,0,27.08,54.16,1/8,python,93.0,100,80.0,59.93,77.1,34.1,88.6,IIT,9.78,74.31,96.25,50.78,65.29,60.21,hybrid (tfidf)
7,CAND_0337,Candidate_337,senior,9,Pune,26.1,0,32.31,55.18,1/8,nlp,79.04,90,68.3,65.35,42.3,100.0,73.31,Tier-2,9.74,100.0,87.5,51.42,64.93,60.2,hybrid (tfidf)
8,CAND_0111,Candidate_111,mid,5,Chennai,45.2,60,31.53,59.91,1/8,python,78.96,100,66.7,60.02,36.0,96.0,74.24,BITS,7.81,97.55,96.25,51.78,64.44,60.01,hybrid (tfidf)
9,CAND_0039,Candidate_39,mid,4,Remote,46.2,0,33.62,56.58,2/8,"python, sql",74.75,100,53.6,60.68,78.4,34.2,75.58,IIT,7.48,100.0,96.25,51.1,64.64,59.9,hybrid (tfidf)
10,CAND_0109,Candidate_109,mid,2,Delhi,18.8,90,36.02,56.5,2/8,"python, ml",84.0,80,100.0,66.37,92.2,27.6,60.06,NIT,7.58,97.91,72.85,51.27,64.31,59.75,hybrid (tfidf)
